Date,Country,City,Specie,count,min (ppb),max (ppb),median (ppb)
1/16/2017,US,Manhattan,o3,24,2,16,9
1/16/2017,CN,Beijing,o3,432,0,16,4
1/16/2017,US,Los Angeles,o3,23,1,37,10
1/16/2017,US,Houston,o3,95,5,31,19
1/16/2017,CN,Wuhan,o3,255,1,42,12
1/17/2017,US,Los Angeles,o3,20,1,30,7
1/17/2017,US,Houston,o3,117,1,23,11
1/17/2017,CN,Beijing,o3,407,0,58,4
1/17/2017,CN,Shanghai,o3,212,2,31,11
1/17/2017,US,Jacksonville,o3,44,0,17,4
1/17/2017,US,Manhattan,o3,17,1,15,2
1/17/2017,CN,Wuhan,o3,386,0,43,11
1/18/2017,CN,Wuhan,o3,367,0,23,6
1/18/2017,CN,Shanghai,o3,213,2,42,23
1/18/2017,US,Los Angeles,o3,20,1,31,14
1/18/2017,US,Jacksonville,o3,42,0,15,3
1/18/2017,CN,Beijing,o3,422,0,27,8
1/18/2017,US,Manhattan,o3,24,7,17,14
1/18/2017,US,Houston,o3,96,1,22,6
1/19/2017,CN,Wuhan,o3,367,0,47,18
1/19/2017,CN,Beijing,o3,362,1,42,23
1/19/2017,CN,Shanghai,o3,214,4,43,23
1/19/2017,US,Jacksonville,o3,46,0,16,8
1/19/2017,US,Houston,o3,89,1,19,7
1/19/2017,US,Los Angeles,o3,18,5,32,23
1/19/2017,US,Manhattan,o3,24,1,19,11
1/20/2017,US,Manhattan,o3,24,1,16,5
1/20/2017,US,Los Angeles,o3,24,7,34,21
1/20/2017,US,Houston,o3,114,1,36,17
1/20/2017,US,Jacksonville,o3,40,1,15,8
1/20/2017,CN,Shanghai,o3,216,8,42,28
1/20/2017,CN,Wuhan,o3,380,4,48,22
1/20/2017,CN,Beijing,o3,448,1,34,20
1/21/2017,CN,Shanghai,o3,207,1,42,23
1/21/2017,US,Manhattan,o3,20,1,6,3
1/21/2017,CN,Beijing,o3,404,1,44,23
1/21/2017,CN,Wuhan,o3,333,0,45,14
1/21/2017,US,Los Angeles,o3,24,7,35,29
1/21/2017,US,Houston,o3,111,1,37,15
1/22/2017,CN,Beijing,o3,442,1,33,12
1/22/2017,US,Los Angeles,o3,24,6,33,19
1/22/2017,CN,Wuhan,o3,324,0,48,9
1/22/2017,US,Manhattan,o3,14,2,4,3
1/22/2017,CN,Shanghai,o3,212,1,37,23
1/22/2017,US,Houston,o3,120,8,37,30
1/23/2017,US,Jacksonville,o3,46,11,20,12
1/23/2017,CN,Beijing,o3,398,1,31,9
1/23/2017,CN,Shanghai,o3,214,2,44,29
1/23/2017,US,Los Angeles,o3,24,1,37,30
1/23/2017,CN,Wuhan,o3,347,0,50,18
1/23/2017,US,Houston,o3,106,2,42,23
1/23/2017,US,Manhattan,o3,13,22,28,23
1/24/2017,CN,Shanghai,o3,216,3,50,32
1/24/2017,US,Los Angeles,o3,19,1,31,11
1/24/2017,CN,Beijing,o3,242,1,25,4
1/24/2017,US,Manhattan,o3,24,12,28,23
1/24/2017,US,Jacksonville,o3,44,2,17,12
1/24/2017,US,Houston,o3,94,2,45,28
1/24/2017,CN,Wuhan,o3,380,2,49,23
1/25/2017,US,Los Angeles,o3,16,1,33,17
1/25/2017,CN,Shanghai,o3,216,21,50,36
1/25/2017,US,Houston,o3,96,4,41,23
1/25/2017,US,Jacksonville,o3,46,0,21,14
1/25/2017,US,Manhattan,o3,24,3,28,15
1/25/2017,CN,Beijing,o3,294,1,30,4
1/25/2017,CN,Wuhan,o3,399,0,57,17
1/26/2017,CN,Shanghai,o3,213,5,57,34
1/26/2017,CN,Beijing,o3,125,1,32,2
1/26/2017,US,Manhattan,o3,24,2,25,12
1/26/2017,US,Houston,o3,87,1,35,19
1/26/2017,US,Jacksonville,o3,45,2,17,10
1/26/2017,US,Los Angeles,o3,18,1,30,4
1/26/2017,CN,Wuhan,o3,400,0,55,18
1/27/2017,US,Los Angeles,o3,19,1,30,2
1/27/2017,US,Jacksonville,o3,48,6,20,14
1/27/2017,CN,Wuhan,o3,360,0,43,25
1/27/2017,CN,Beijing,o3,312,1,49,21
1/27/2017,CN,Shanghai,o3,216,4,45,33
1/27/2017,US,Houston,o3,119,1,37,19
1/27/2017,US,Manhattan,o3,24,11,20,15
1/28/2017,US,Los Angeles,o3,20,1,29,2
1/28/2017,CN,Wuhan,o3,358,1,37,23
1/28/2017,US,Jacksonville,o3,48,9,19,12
1/28/2017,US,Houston,o3,115,1,39,25
1/28/2017,CN,Beijing,o3,395,1,55,3
1/28/2017,CN,Shanghai,o3,216,14,55,33
1/29/2017,CN,Wuhan,o3,389,4,33,19
1/29/2017,CN,Beijing,o3,410,1,67,27
1/29/2017,US,Los Angeles,o3,18,1,37,4
1/29/2017,CN,Shanghai,o3,216,2,51,29
1/29/2017,US,Jacksonville,o3,45,11,21,15
1/29/2017,US,Houston,o3,120,1,42,17
1/30/2017,CN,Shanghai,o3,195,18,39,33
1/30/2017,CN,Wuhan,o3,362,10,45,24
1/30/2017,US,Houston,o3,94,1,49,21
1/30/2017,US,Jacksonville,o3,48,5,19,17
1/30/2017,US,Los Angeles,o3,20,1,36,4
1/30/2017,US,Manhattan,o3,11,16,23,20
1/30/2017,CN,Beijing,o3,391,11,56,25
1/31/2017,CN,Wuhan,o3,377,5,30,20
1/31/2017,US,Jacksonville,o3,48,1,23,17
1/31/2017,US,Los Angeles,o3,20,1,32,2
1/31/2017,CN,Beijing,o3,395,1,63,18
1/31/2017,US,Houston,o3,119,1,50,29
1/31/2017,CN,Shanghai,o3,213,21,39,34
1/31/2017,US,Manhattan,o3,13,2,23,15
2/1/2017,US,Los Angeles,o3,20,1,36,17
2/1/2017,CN,Shanghai,o3,214,24,46,34
2/1/2017,US,Jacksonville,o3,48,1,22,15
2/1/2017,US,Houston,o3,120,2,42,23
2/1/2017,US,Manhattan,o3,19,12,23,21
2/1/2017,CN,Beijing,o3,388,1,42,23
2/1/2017,CN,Wuhan,o3,385,2,31,16
2/2/2017,CN,Beijing,o3,396,1,69,8
2/2/2017,US,Houston,o3,117,2,36,21
2/2/2017,US,Los Angeles,o3,24,1,25,14
2/2/2017,US,Jacksonville,o3,42,0,19,5
2/2/2017,CN,Shanghai,o3,214,11,44,35
2/2/2017,CN,Wuhan,o3,396,1,27,14
2/2/2017,US,Manhattan,o3,23,5,28,22
2/3/2017,CN,Wuhan,o3,365,0,22,6
2/3/2017,CN,Beijing,o3,394,1,47,6
2/3/2017,US,Houston,o3,120,9,32,19
2/3/2017,US,Jacksonville,o3,48,0,19,6
2/3/2017,US,Los Angeles,o3,24,1,21,3
2/3/2017,US,Manhattan,o3,24,19,28,24
2/3/2017,CN,Shanghai,o3,216,3,33,20
2/4/2017,US,Los Angeles,o3,21,1,32,27
2/4/2017,CN,Beijing,o3,379,1,57,9
2/4/2017,CN,Shanghai,o3,193,0,20,4
2/4/2017,US,Houston,o3,113,7,28,20
2/4/2017,CN,Wuhan,o3,342,0,28,6
2/4/2017,US,Jacksonville,o3,44,5,19,15
2/4/2017,US,Manhattan,o3,18,12,28,23
2/5/2017,US,Manhattan,o3,24,10,25,17
2/5/2017,US,Houston,o3,120,15,32,22
2/5/2017,US,Jacksonville,o3,48,6,19,14
2/5/2017,CN,Shanghai,o3,197,0,32,15
2/5/2017,CN,Wuhan,o3,374,0,27,11
2/5/2017,CN,Beijing,o3,435,1,52,24
2/5/2017,US,Los Angeles,o3,24,1,24,15
2/6/2017,CN,Shanghai,o3,211,3,46,36
2/6/2017,US,Jacksonville,o3,48,0,21,7
2/6/2017,US,Houston,o3,119,6,29,22
2/6/2017,US,Manhattan,o3,21,2,28,24
2/6/2017,CN,Beijing,o3,378,1,45,23
2/6/2017,CN,Wuhan,o3,326,0,42,9
2/6/2017,US,Los Angeles,o3,24,2,23,17
2/7/2017,US,Jacksonville,o3,47,0,20,11
2/7/2017,CN,Shanghai,o3,212,9,45,34
2/7/2017,US,Manhattan,o3,12,2,10,10
2/7/2017,US,Los Angeles,o3,24,1,20,7
2/7/2017,US,Houston,o3,119,2,38,20
2/7/2017,CN,Wuhan,o3,388,5,47,19
2/7/2017,CN,Beijing,o3,250,1,41,8
2/8/2017,CN,Wuhan,o3,373,14,38,25
2/8/2017,US,Los Angeles,o3,24,1,15,7
2/8/2017,CN,Beijing,o3,330,1,54,28
2/8/2017,US,Manhattan,o3,10,8,19,11
2/8/2017,CN,Shanghai,o3,197,18,38,31
2/8/2017,US,Jacksonville,o3,47,6,18,12
2/8/2017,US,Houston,o3,113,5,46,22
2/9/2017,CN,Wuhan,o3,391,0,49,21
2/9/2017,US,Jacksonville,o3,46,6,19,17
2/9/2017,US,Houston,o3,120,3,45,25
2/9/2017,US,Los Angeles,o3,16,0,32,4
2/9/2017,US,Manhattan,o3,18,20,31,23
2/9/2017,CN,Shanghai,o3,216,9,47,28
2/9/2017,CN,Beijing,o3,220,17,48,32
2/10/2017,US,Manhattan,o3,20,9,29,22
2/10/2017,US,Houston,o3,118,1,41,22
2/10/2017,US,Jacksonville,o3,46,0,21,15
2/10/2017,CN,Shanghai,o3,216,7,45,27
2/10/2017,CN,Beijing,o3,444,4,127,30
2/10/2017,CN,Wuhan,o3,392,0,51,21
2/10/2017,US,Los Angeles,o3,13,1,3,2
2/11/2017,US,Manhattan,o3,21,1,15,8
2/11/2017,CN,Wuhan,o3,370,0,50,20
2/11/2017,US,Jacksonville,o3,46,0,24,14
2/11/2017,CN,Shanghai,o3,215,3,44,19
2/11/2017,CN,Beijing,o3,439,1,47,15
2/11/2017,US,Los Angeles,o3,23,1,31,23
2/11/2017,US,Houston,o3,110,6,25,16
2/12/2017,US,Los Angeles,o3,22,1,34,8
2/12/2017,US,Houston,o3,115,6,34,19
2/12/2017,CN,Beijing,o3,408,1,57,5
2/12/2017,CN,Shanghai,o3,200,2,54,27
2/12/2017,US,Jacksonville,o3,46,4,17,12
2/12/2017,CN,Wuhan,o3,359,0,59,14
2/12/2017,US,Manhattan,o3,24,6,24,14
2/13/2017,CN,Beijing,o3,401,1,43,8
2/13/2017,CN,Shanghai,o3,216,4,57,29
2/13/2017,US,Houston,o3,118,1,31,18
2/13/2017,US,Jacksonville,o3,46,5,23,14
2/13/2017,US,Los Angeles,o3,22,1,31,2
2/13/2017,CN,Wuhan,o3,381,0,55,15
2/13/2017,US,Manhattan,o3,17,22,29,25
2/14/2017,US,Manhattan,o3,17,8,22,16
2/14/2017,CN,Shanghai,o3,210,3,62,25
2/14/2017,US,Jacksonville,o3,46,0,20,9
2/14/2017,CN,Beijing,o3,358,1,127,2
2/14/2017,CN,Wuhan,o3,392,0,56,16
2/14/2017,US,Los Angeles,o3,21,1,33,6
2/14/2017,US,Houston,o3,120,10,27,19
2/15/2017,CN,Shanghai,o3,211,6,62,43
2/15/2017,US,Los Angeles,o3,20,1,41,6
2/15/2017,CN,Beijing,o3,297,1,42,4
2/15/2017,US,Houston,o3,117,1,41,23
2/15/2017,US,Jacksonville,o3,47,8,17,12
2/15/2017,US,Manhattan,o3,24,2,30,14
2/15/2017,CN,Wuhan,o3,347,0,62,10
2/16/2017,US,Manhattan,o3,24,19,27,23
2/16/2017,US,Jacksonville,o3,47,1,21,16
2/16/2017,US,Los Angeles,o3,20,1,28,15
2/16/2017,CN,Shanghai,o3,205,6,52,30
2/16/2017,US,Houston,o3,102,1,49,28
2/16/2017,CN,Beijing,o3,280,1,39,27
2/16/2017,CN,Wuhan,o3,371,0,65,23
2/17/2017,US,Houston,o3,118,1,41,21
2/17/2017,US,Jacksonville,o3,48,0,25,15
2/17/2017,US,Los Angeles,o3,23,10,38,25
2/17/2017,CN,Shanghai,o3,152,2,37,31
2/17/2017,US,Manhattan,o3,24,19,31,24
2/17/2017,CN,Beijing,o3,335,1,42,24
2/17/2017,CN,Wuhan,o3,306,1,31,17
2/18/2017,CN,Beijing,o3,402,1,127,6
2/18/2017,US,Jacksonville,o3,47,2,24,10
2/18/2017,US,Houston,o3,115,9,46,23
2/18/2017,US,Manhattan,o3,24,6,28,23
2/18/2017,CN,Wuhan,o3,386,0,34,9
2/18/2017,US,Los Angeles,o3,24,2,42,36
2/18/2017,CN,Shanghai,o3,207,17,36,30
2/19/2017,CN,Beijing,o3,321,1,49,24
2/19/2017,US,Jacksonville,o3,48,5,19,15
2/19/2017,US,Houston,o3,120,9,25,15
2/19/2017,US,Manhattan,o3,24,23,38,30
2/19/2017,US,Los Angeles,o3,24,1,33,25
2/19/2017,CN,Shanghai,o3,216,7,57,33
2/19/2017,CN,Wuhan,o3,337,0,50,11
2/20/2017,US,Manhattan,o3,24,19,33,30
2/20/2017,CN,Wuhan,o3,352,0,39,17
2/20/2017,CN,Beijing,o3,327,1,127,27
2/20/2017,US,Houston,o3,71,1,34,18
2/20/2017,US,Los Angeles,o3,24,3,28,22
2/20/2017,US,Jacksonville,o3,47,0,22,11
2/20/2017,CN,Shanghai,o3,205,3,42,29
2/21/2017,CN,Shanghai,o3,216,25,42,36
2/21/2017,CN,Beijing,o3,291,1,29,10
2/21/2017,US,Houston,o3,70,1,43,15
2/21/2017,US,Jacksonville,o3,47,0,21,17
2/21/2017,US,Manhattan,o3,24,16,30,28
2/21/2017,US,Los Angeles,o3,23,2,28,6
2/21/2017,CN,Wuhan,o3,387,3,46,16
2/22/2017,US,Jacksonville,o3,48,14,22,18
2/22/2017,CN,Beijing,o3,424,1,45,15
2/22/2017,US,Houston,o3,105,1,57,24
2/22/2017,US,Los Angeles,o3,24,2,36,19
2/22/2017,CN,Shanghai,o3,214,5,46,11
2/22/2017,US,Manhattan,o3,18,1,24,9
2/22/2017,CN,Wuhan,o3,351,3,34,17
2/23/2017,CN,Wuhan,o3,380,0,46,19
2/23/2017,CN,Shanghai,o3,209,6,49,24
2/23/2017,US,Manhattan,o3,20,1,23,6
2/23/2017,US,Houston,o3,119,1,59,32
2/23/2017,CN,Beijing,o3,452,1,48,23
2/23/2017,US,Los Angeles,o3,24,28,41,36
2/23/2017,US,Jacksonville,o3,46,12,19,17
2/24/2017,US,Los Angeles,o3,24,2,39,14
2/24/2017,US,Houston,o3,119,5,45,32
2/24/2017,CN,Beijing,o3,403,1,47,19
2/24/2017,US,Manhattan,o3,23,1,31,18
2/24/2017,CN,Shanghai,o3,214,7,56,37
2/24/2017,US,Jacksonville,o3,48,4,19,15
2/24/2017,CN,Wuhan,o3,372,0,57,17
2/25/2017,CN,Wuhan,o3,348,0,58,19
2/25/2017,CN,Beijing,o3,446,1,51,24
2/25/2017,US,Manhattan,o3,24,8,32,27
2/25/2017,US,Jacksonville,o3,48,1,19,9
2/25/2017,US,Los Angeles,o3,22,1,37,19
2/25/2017,CN,Shanghai,o3,208,2,62,31
2/25/2017,US,Houston,o3,113,3,42,25
2/26/2017,CN,Wuhan,o3,352,0,60,14
